59053.DE,False
A,False
AA,False
AAPL,False
ABC,False
ABI.BR,False
ABT,False
ACA.PA,False
ADBE,False
ADI,False
ADM,False
ADP,False
ADSK,False
AEE,False
AEP,False
AES,False
AET,False
AFL,False
AFX.DE,False
AGN,False
AGN.AS,False
AI.PA,False
AIG,False
AIV,False
AIXA.DE,False
AIZ,False
AKAM,False
AKS,False
ALEX,False
ALL,False
ALO.PA,False
ALTR,False
ALV.DE,False
AMAT,False
AMD,False
AMGN,False
AMP,False
AMR,False
AMT,False
AMZN,False
AN,False
ANF,False
AON,False
APA,False
APC,False
APD,False
APH,False
APOL,False
ARG,False
ATI,False
AVB,False
AVP,False
AVY,False
AXP,False
AYE,False
AZO,False
BA,False
BAC,False
BAX,False
BAYN.DE,False
BBBY,False
BBT,False
BBVA.MC,False
BBY,False
BBZA.DE,False
BC8.DE,False
BCR,False
BDX,False
BEI.DE,False
BEN,False
BF-B,False
BHI,False
BIG,False
BIIB,False
BJS,False
BK,False
BLL,False
BMC,False
BMS,False
BMW.DE,False
BMY,False
BN.PA,False
BNI,False
BNP.PA,False
BRCM,False
BSX,False
BTU,False
BXP,False
C,False
CA,False
CA.PA,False
CAG,False
CAH,False
CAM,False
CAT,False
CB,False
CBG,False
CBK.DE,False
CBS,False
CCE,False
CCL,False
CEG,False
CELG,False
CEPH,False
CF,False
CFN,False
CGY.DE,False
CHK,False
CHRW,False
CI,False
CINF,False
CL,False
CLF,False
CLX,False
CMA,False
CMCSA,False
CME,False
CMI,False
CMS,False
CNP,False
CNW,False
CNX,False
COF,False
COG,False
COH,False
COL,False
COP,False
COST,False
CPB,False
CPWR,False
CRG.IR,False
CRM,False
CS.PA,False
CSC,False
CSCO,False
CSX,False
CTAS,False
CTL,False
CTN.DE,False
CTSH,False
CTXS,False
CVH,False
CVS,False
CVX,False
D,False
DAI.DE,False
DAL,False
DB1.DE,False
DBK.DE,False
DD,False
DE,False
DELL,False
DF,False
DFS,False
DG.PA,False
DGX,False
DHI,False
DHR,False
DIS,False
DLG.DE,False
DNB,False
DNR,False
DO,False
DOV,False
DOW,False
DPS,False
DPW.DE,False
DRI,False
DRI.DE,False
DRW3.DE,False
DTE,False
DTE.DE,False
DTV,False
DUK,False
DV,False
DVA,False
DVN,False
EBAY,False
ECL,False
ED,False
EFX,False
EIX,False
EK,False
EL,False
EMC,False
EMN,False
EMR,False
ENEL.MI,False
ENI.MI,False
EOAN.DE,False
EOG,False
EP,False
EQR,False
EQT,False
ERTS,False
ESRX,False
ETFC,False
ETN,False
ETR,False
EVT.DE,False
EXC,False
EXPD,False
EXPE,False
F,False
FAST,False
FCX,False
FDO,False
FDX,False
FE,False
FHN,False
FII,False
FIS,False
FISV,False
FITB,False
FLIR,False
FLR,False
FLS,False
FMC,False
FME.DE,False
FNTN.DE,False
FO,False
FP.PA,False
FRE3.DE,False
FRX,False
FSLR,False
FTE.PA,False
FTI,False
FTR,False
G.MI,False
GAS,False
GCI,False
GD,False
GE,False
GENZ,False
GILD,False
GIS,False
GLE.PA,False
GLW,False
GME,False
GMT,False
GNW,False
GOOG,False
GPC,False
GPS,False
GR,False
GS,False
GSZ.PA,False
GT,False
GWW,False
HAL,False
HAR,False
HAS,False
HBAN,False
HCBK,False
HCN,False
HCP,False
HD,False
HEN3.DE,False
HES,False
HIG,False
HNZ,False
HOG,False
HON,False
HOT,False
HPQ,False
HRB,False
HRL,False
HRS,False
HSP,False
HST,False
HSY,False
HUM,False
IBE.MC,False
IBM,False
ICE,False
IFF,False
IFX.DE,False
IGT,False
INGA.AS,False
INTC,False
INTU,False
IP,False
IPG,False
IRM,False
ISP.MI,False
ISRG,False
ITT,False
ITW,False
IVZ,False
JBHT,False
JBL,False
JBLU,False
JCI,False
JCP,False
JDSU,False
JEC,False
JEN.DE,False
JNJ,False
JNPR,False
JNS,False
JPM,False
JWN,False
K,False
KBC.DE,False
KEY,False
KFT,False
KG,False
KIM,False
KLAC,False
KMB,False
KO,False
KR,False
KSS,False
KSU,False
L,False
LEG,False
LEN,False
LH,False
LHA.DE,False
LIFE,False
LIN.DE,False
LLL,False
LLTC,False
LLY,False
LM,False
LMT,False
LNC,False
LO,False
LOW,False
LSI,False
LSTR,False
LTD,False
LUK,False
LUV,False
LXK,False
M,False
M5Z.DE,False
MA,False
MAN.DE,False
MAR,False
MAS,False
MAT,False
MC.PA,False
MCD,False
MCHP,False
MCK,False
MCO,False
MDG.DE,False
MDP,False
MDT,False
MEE,False
MEO.DE,False
MET,False
MFE,False
MHP,False
MHS,False
MI,False
MJN,False
MKC,False
MMC,False
MMM,False
MO,False
MOLX,False
MON,False
MOR.DE,False
MOT,False
MRK,False
MRK.DE,False
MRO,False
MS,False
MSFT,False
MTB,False
MU,False
MUR,False
MUV2.DE,False
MWV,False
MWW,False
MYL,False
NBL,False
NBR,False
NDAQ,False
NDX1.DE,False
NEE,False
NEM,False
NI,False
NKE,False
NOC,False
NOK1V,False
NOV,False
NOVL,False
NRG,False
NSC,False
NSM,False
NTAP,False
NTRS,False
NU,False
NUE,False
NVDA,False
NVLS,False
NWL,False
NWSA,False
NYT,False
NYX,False
ODP,False
OI,False
OMC,False
OR.PA,False
ORCL,False
ORLY,False
OSG,False
OXY,False
PAYX,False
PBCT,False
PBI,False
PCAR,False
PCG,False
PCL,False
PCLN,False
PCP,False
PCS,False
PDCO,False
PEG,False
PEP,False
PFE,False
PFG,False
PFV.DE,False
PG,False
PGN,False
PGR,False
PH,False
PHIA.AS,False
PHM,False
PKI,False
PLD,False
PLL,False
PM,False
PNC,False
PNW,False
POM,False
PPG,False
PPL,False
PRU,False
PS4.DE,False
PSA,False
PWR,False
PX,False
PXD,False
Q,False
QCE.DE,False
QCOM,False
QIA.DE,False
QLGC,False
QSC.DE,False
R,False
R8R.DE,False
RAI,False
RDC,False
REP.MC,False
RF,False
RHI,False
RHT,False
RL,False
ROK,False
ROP,False
ROST,False
RRC,False
RRD,False
RSG,False
RSH,False
RTN,False
RWE.DE,False
S,False
S92.DE,False
SAI,False
SAN.MC,False
SAN.PA,False
SAP.DE,False
SBUX,False
SCG,False
SCHW,False
SDF.DE,False
SE,False
SEE,False
SGO.PA,False
SHLD,False
SHW,False
SIAL,False
SIE.DE,False
SII,False
SJM,False
SLB,False
SLE,False
SLM,False
SM7.DE,False
SNA,False
SNDK,False
SNG.DE,False
SNI,False
SO,False
SOW.DE,False
SPG,False
SPLS,False
SRCL,False
SRE,False
STI,False
STJ,False
STR,False
STT,False
STZ,False
SU.PA,False
SUN,False
SVU,False
SWK,False
SWN,False
SWV.DE,False
SWY,False
SYK,False
SYMC,False
SYY,False
SZG.DE,False
T,False
TAP,False
TDC,False
TE,False
TEF.MC,False
TEG,False
TER,False
TGT,False
THC,False
TIE,False
TIF,False
TIT.MI,False
TJX,False
TKA.DE,False
TLAB,False
TMK,False
TMO,False
TROW,False
TRV,False
TSN,False
TSO,False
TSS,False
TWC,False
TWX,False
TXN,False
TXT,False
UAL,False
UCG.MI,False
UL.PA,False
UNA.AS,False
UNH,False
UNM,False
UNP,False
UPS,False
URBN,False
USB,False
UTDI.DE,False
UTX,False
V,False
VAR,False
VFC,False
VIA-B,False
VIV.PA,False
VLO,False
VMC,False
VNO,False
VOW3.DE,False
VRSN,False
VTR,False
VZ,False
WAG,False
WAT,False
WDC,False
WDI.DE,False
WEC,False
WFC,False
WFMI,False
WFR,False
WHR,False
WIN,False
WLP,False
WM,False
WMB,False
WMT,False
WPI,False
WPO,False
WU,False
WY,False
WYN,False
WYNN,False
X,False
XEL,False
XL,False
XLNX,False
XOM,False
XRAY,False
XRX,False
YHOO,False
YUM,False
ZION,False
ZMH,False
